initial_slew_ns,final_load_fF,total_tp_ns,inv_tp_ns,and2_tp_ns,dff_tp_ns,final_slew_ns
0.07090909090909091,19.09090909090909,0.18514981989108412,0.025444587153392005,0.03252845535271595,0.12717677738497615,0.04627845857721253
0.07090909090909091,21.818181818181817,0.19161821202916177,0.025444587153392005,0.03252845535271595,0.1336451695230538,0.05249529159928029
0.07090909090909091,24.545454545454543,0.1980866041672394,0.025444587153392005,0.03252845535271595,0.14011356166113142,0.058712124621348054
0.07090909090909091,27.27272727272727,0.204554996305317,0.025444587153392005,0.03252845535271595,0.14658195379920905,0.0649289576434158
0.07090909090909091,30.0,0.21102338844339466,0.025444587153392005,0.03252845535271595,0.1530503459372867,0.07114579066548357
0.08409090909090909,0.0,0.14645603947759525,0.027809241220054036,0.033414515894748066,0.08523228236279315,0.006235448839189533
0.08409090909090909,2.727272727272727,0.1515854083505228,0.027809241220054036,0.033414515894748066,0.0903616512357207,0.01043073393778896
0.08409090909090909,5.454545454545454,0.15720551533875243,0.027809241220054036,0.033414515894748066,0.09598175822395033,0.015797516082082838
0.08409090909090909,8.181818181818182,0.1630774407411168,0.027809241220054036,0.033414515894748066,0.10185368362631471,0.021591246711445536
0.08409090909090909,10.909090909090908,0.16933225546114744,0.027809241220054036,0.033414515894748066,0.10810849834634534,0.027737910533140328
0.08409090909090909,13.636363636363635,0.17558707018117806,0.027809241220054036,0.033414515894748066,0.11436331306637595,0.03388457435483512
0.08409090909090909,16.363636363636363,0.18193438172134124,0.027809241220054036,0.033414515894748066,0.12071062460653914,0.040061627136088684
0.08409090909090909,19.09090909090909,0.18840277385941887,0.027809241220054036,0.033414515894748066,0.12717901674461676,0.04627845980802501
0.08409090909090909,21.818181818181817,0.1948711659974965,0.027809241220054036,0.033414515894748066,0.13364740888269439,0.05249529247996135
0.08409090909090909,24.545454545454543,0.20133955813557414,0.027809241220054036,0.033414515894748066,0.14011580102077204,0.058712125151897665
0.08409090909090909,27.27272727272727,0.20780795027365176,0.027809241220054036,0.033414515894748066,0.14658419315884966,0.06492895782383398
0.08409090909090909,30.0,0.2142763424117294,0.027809241220054036,0.033414515894748066,0.1530525852969273,0.07114579049577033
0.09727272727272727,0.0,0.14943886379903212,0.029972982772262066,0.03421996018894605,0.08524592083782401,0.006235457747885177
0.09727272727272727,2.727272727272727,0.15456823435107248,0.029972982772262066,0.03421996018894605,0.09037529138986437,0.01043072525543413
0.09727272727272727,5.454545454545454,0.1601883348744605,0.029972982772262066,0.03421996018894605,0.09599539191325238,0.01579751326482272
0.09727272727272727,8.181818181818182,0.1660602502850705,0.029972982772262066,0.03421996018894605,0.10186730732386239,0.02159124534403968
0.09727272727272727,10.909090909090908,0.1723150661414036,0.029972982772262066,0.03421996018894605,0.10812212318019548,0.02773791380563615
0.09727272727272727,13.636363636363635,0.17856988199773668,0.029972982772262066,0.03421996018894605,0.11437693903652857,0.033884582267232614
0.09727272727272727,16.363636363636363,0.18491719418208863,0.029972982772262066,0.03421996018894605,0.12072425122088051,0.04006163675621066
0.09727272727272727,19.09090909090909,0.19138558632016628,0.029972982772262066,0.03421996018894605,0.12719264335895816,0.046278467297579895
0.09727272727272727,21.818181818181817,0.1978539784582439,0.029972982772262066,0.03421996018894605,0.13366103549703579,0.05249529783894913
0.09727272727272727,24.545454545454543,0.20432237059632152,0.029972982772262066,0.03421996018894605,0.1401294276351134,0.05871212838031836
0.09727272727272727,27.27272727272727,0.21079076273439917,0.029972982772262066,0.03421996018894605,0.14659781977319106,0.0649289589216876
0.09727272727272727,30.0,0.2172591548724768,0.029972982772262066,0.03421996018894605,0.15306621191126868,0.07114578946305683
0.11045454545454546,0.0,0.15242168812046894,0.032136724324470095,0.035025404483144014,0.08525955931285484,0.0062354666565808195
