subtest,cell,arc,lut,side,q,expected,got,rel_jump
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.10992384,0.10241238444947656,0.10241238444947656,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.11395161999999999,0.10266827554237294,0.10266827554237294,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.1179794,0.10292416663526932,0.10292416663526933,1.3483507577955862e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.12200717999999999,0.10318005772816571,0.10318005772816571,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.12603496,0.1034359488210621,0.1034359488210621,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.13006274,0.10369183991395849,0.10369183991395847,1.3383683633475864e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.13409052000000002,0.1037925732024425,0.10379257320244252,1.3370694433739963e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.1381183,0.10389259987728985,0.10389259987728985,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.14214608,0.1039926265521372,0.1039926265521372,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.14617386000000002,0.10409265322698454,0.10409265322698454,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.15020164,0.10419267990183188,0.10419267990183187,1.3319350093394097e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.15422942,0.10429270657667923,0.10429270657667923,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.15825720000000001,0.10439273325152656,0.10439273325152658,1.3293825514058486e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.16228498000000002,0.10449275992637391,0.10449275992637391,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.16631276,0.10459278660122126,0.10459278660122126,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.17034054,0.1046928132760686,0.1046928132760686,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.17436832000000002,0.10479283995091594,0.10479283995091596,1.3243068719499054e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.1783961,0.10489286662576329,0.10489286662576329,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.18242388,0.10499289330061062,0.10499289330061062,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.18645166000000002,0.10509291997545797,0.10509291997545797,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.19047944,0.10519294665030532,0.10519294665030532,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.19450722,0.10529297332515265,0.10529297332515265,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[0],0.198535,0.105393,0.105393,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.00117378,0.224142,0.224142,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.00520156,0.2258339813672521,0.2258339813672521,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.009229339999999999,0.22750366748168221,0.22750366748168221,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.013257119999999999,0.22917335359611232,0.22917335359611235,1.211117050917902e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.0172849,0.23082764659066557,0.23082764659066557,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.02131268,0.2318710690649175,0.2318710690649175,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.02534046,0.23291449153916943,0.2329144915391694,1.1916637488810453e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.029368239999999997,0.23395791401342136,0.23395791401342136,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.03339602,0.2350013364876733,0.2350013364876733,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.0374238,0.23604475896192523,0.23604475896192523,0.0
