subtest,cell,arc,lut,border,eps,v_inside,v_outside,rel_jump
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_low,0.001,0.00017317101259289478,0.0004958977904505646,0.6507929336899153
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_low,1e-06,0.00017317101259289478,0.00017349373937075257,0.0018601638250941486
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_low,1e-09,0.00017317101259289478,0.00017317133531967268,1.863627010185548e-06
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_low,1e-12,0.00017317101259289478,0.00017317101291562157,1.8636305494767763e-09
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_high,0.001,0.12015653468578348,0.12024193262676514,0.0007102176346976445
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_high,1e-06,0.12024184722882415,0.12024193262676514,7.102176347056081e-07
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_high,1e-09,0.1202419325413672,0.12024193262676514,7.102176158928748e-10
C_clamp_transition,INV_X1,A->ZN,cell_fall,load_high,1e-12,0.12024193262667972,0.12024193262676514,7.103826601177275e-13
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_low,0.001,0.07213499049057796,0.07213500622753413,2.1815976724400517e-07
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_low,1e-06,0.07213499049057796,0.07213499050631493,2.1815996889157529e-10
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_low,1e-09,0.07213499049057796,0.0721349904905937,2.181661253024457e-13
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_low,1e-12,0.07213499049057796,0.07213499049057798,1.9238635388226917e-16
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_high,0.001,0.09999916939041385,0.10005021225906141,0.0005101725173295164
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_high,1e-06,0.10005016121619276,0.10005021225906141,5.101725173937383e-07
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_high,1e-09,0.10005021220801855,0.10005021225906141,5.101724746716037e-10
C_clamp_transition,INV_X1,A->ZN,rise_transition,slew_high,1e-12,0.10005021225901035,0.10005021225906141,5.103075764871781e-13
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_low,0.001,0.017508815790405488,0.017706999169878862,0.011192375262009445
