load_fF,value_bilinear_clamped_ns,value_pchip_ns,out_of_range,out_of_range_flag,underestimation_pct
94.69762711864406,0.2514909827467899,0.25307351281775636,True,False,0.6253242598746772
95.72694915254237,0.25395274864605993,0.255591755337947,True,False,0.6412596093797817
96.75627118644067,0.2564145145453299,0.2581115570180683,True,False,0.6574841097175843
97.78559322033898,0.25887628044459987,0.2606329328616913,True,False,0.6739948009654004
98.81491525423729,0.2613380463438699,0.263155897872387,True,False,0.6907888226007523
99.84423728813559,0.2637998122431398,0.26568046705372655,True,False,0.707863408794157
100.8735593220339,0.2662615781424098,0.26820665540928096,True,False,0.7252158839619334
101.90288135593221,0.26872334404167986,0.27073447794262134,True,False,0.7428436585633988
102.9322033898305,0.27118510994094985,0.27326394965731854,True,False,0.7607442251257859
103.9615254237288,0.27364687584021974,0.2757950855569439,True,False,0.7789151544836327
104.99084745762713,0.27610864173948985,0.27832790064506835,True,False,0.797354092218216
106.02016949152542,0.2785704076387598,0.2808624099252628,True,False,0.8160587552862281
107.04949152542372,0.2810321735380298,0.2833986284010985,True,False,0.8350269288245847
108.07881355932204,0.2834939394372998,0.28593657107614645,True,False,0.8542564631217405
109.10813559322034,0.2859557053365697,0.2884762529539778,True,False,0.8737452707451002
110.13745762711864,0.2884174712358397,0.2910176890381633,True,False,0.8934913238152239
111.16677966101695,0.2908792371351097,0.29356089433227434,True,False,0.9134926514187958
112.19610169491526,0.2933410030343797,0.2961058838398818,True,False,0.9337473371509154
113.22542372881355,0.29580276893364976,0.29865267256455674,True,False,0.9542535167807499
114.25474576271186,0.2982645348329197,0.30120127550987036,True,False,0.9750093760324793
115.28406779661017,0.30072630073218976,0.3037517076793935,True,False,0.9960131484748889
116.31338983050847,0.3031880666314597,0.30630398407669734,True,False,1.0172631135145256
117.34271186440678,0.3056498325307297,0.30885811970535293,True,False,1.0387575944851006
118.37203389830509,0.3081115984299997,0.31141412956893133,True,False,1.0604949568290631
119.40135593220339,0.31057336432926963,0.31397202867100354,True,False,1.0824736063654938
120.43067796610168,0.3130351302285396,0.3165318320151407,True,False,1.104691987639902
121.46,0.3154968961278096,0.31909355460491373,True,False,1.1271485823514418
